Don't Ask Why;Katzù Oso
Rich Flex;Drake
ceilings;Lizzy McAlpine
Everlong;Foo Fighters
Let Me Love You;DJ Snake
The Box;Roddy Ricch
Till I Collapse;Eminem
Just the Way You Are;Bruno Mars
Unforgettable;French Montana
Memories;Maroon 5
Stay With Me;Sam Smith
good 4 u;Olivia Rodrigo
One Kiss (with Dua Lipa);Calvin Harris
HUMBLE.;Kendrick Lamar
Riptide;Vance Joy
Take Me To Church;Hozier
Photograph;Ed Sheeran
God's Plan;Drake
Lucid Dreams;Juice WRLD
Closer;The Chainsmokers
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone
Can't Stop;Red Hot Chili Peppers
The Less I Know The Better;Tame Impala
Payphone;Maroon 5
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone
Closer;The Chainsmokers
Lucid Dreams;Juice WRLD
God's Plan;Drake
Photograph;Ed Sheeran
Take Me To Church;Hozier
Riptide;Vance Joy
HUMBLE.;Kendrick Lamar
One Kiss (with Dua Lipa);Calvin Harris
good 4 u;Olivia Rodrigo
Let Me Love You;DJ Snake
Stay With Me;Sam Smith
Memories;Maroon 5
Just the Way You Are;Bruno Mars
Unforgettable;French Montana
Till I Collapse;Eminem
The Box;Roddy Ricch
TELEKINESIS (feat. SZA & Future);Travis Scott
Too Good At Goodbyes;Sam Smith
drivers license;Olivia Rodrigo
Demons;Imagine Dragons
Wake Me Up;Avicii
goosebumps;Travis Scott
Thunder;Imagine Dragons
All of Me;John Legend
Surround Sound (feat. 21 Savage & Baby Tate);JID
Under The Influence;Chris Brown
Bound 2;Kanye West
All of Me;John Legend
Thunder;Imagine Dragons
Wake Me Up;Avicii
Demons;Imagine Dragons
drivers license;Olivia Rodrigo
goosebumps;Travis Scott
Too Good At Goodbyes;Sam Smith
Sweet Child O' Mine;Guns N' Roses
Viva La Vida;Coldplay
There's Nothing Holdin' Me Back;Shawn Mendes
Mr. Brightside;The Killers
Treat You Better;Shawn Mendes
The Hills;The Weeknd
Counting Stars;OneRepublic
Circles;Post Malone
Something Just Like This;The Chainsmokers
Watermelon Sugar;Harry Styles
Say You Won't Let Go;James Arthur
Shape of You;Ed Sheeran
Father Stretch My Hands Pt. 1;Kanye West
Shape of You;Ed Sheeran
Say You Won't Let Go;James Arthur
Watermelon Sugar;Harry Styles
Something Just Like This;The Chainsmokers
Circles;Post Malone
Counting Stars;OneRepublic
The Hills;The Weeknd
Treat You Better;Shawn Mendes
Mr. Brightside;The Killers
There's Nothing Holdin' Me Back;Shawn Mendes
Viva La Vida;Coldplay
Jimmy Cooks (feat. 21 Savage);Drake
Every Breath You Take;The Police
In the End;Linkin Park
When I Was Your Man;Bruno Mars
That's What I Like;Bruno Mars
Without Me;Eminem
Stressed Out;Twenty One Pilots
Perfect;Ed Sheeran
Believer;Imagine Dragons
One Dance;Drake
Until I Found You (with Em Beihold) - Em Beihold Version;Stephen Sanchez
One Dance;Drake
Believer;Imagine Dragons
Perfect;Ed Sheeran
Stressed Out;Twenty One Pilots
Without Me;Eminem
That's What I Like;Bruno Mars
When I Was Your Man;Bruno Mars
In the End;Linkin Park
Every Breath You Take;The Police
I Ain't Worried;OneRepublic
Why'd You Only Call Me When You're High?;Arctic Monkeys
Do I Wanna Know?;Arctic Monkeys
No Role Modelz;J. Cole
lovely (with Khalid);Billie Eilish
Heat Waves;Glass Animals
Someone You Loved;Lewis Capaldi
Nonsense;Sabrina Carpenter
Locked out of Heaven;Bruno Mars
Someone You Loved;Lewis Capaldi
Heat Waves;Glass Animals
No Role Modelz;J. Cole
Do I Wanna Know?;Arctic Monkeys
lovely (with Khalid);Billie Eilish
Yellow;Coldplay
Blinding Lights;The Weeknd
Sprinter;Dave
Kill Bill;SZA
Blinding Lights;The Weeknd
Yellow;Coldplay
Another Love;Tom Odell
Sweater Weather;The Neighbourhood
Sweater Weather;The Neighbourhood
Another Love;Tom Odell
Starboy;The Weeknd
Starboy;The Weeknd
As It Was;Harry Styles
As It Was;Harry Styles
My Love Mine All Mine;Mitski
